time,T.obs,Hr.obs,pr.obs,Rad.obs,u.obs,u_gr.obs,Td.obs,EPenman.obs,pp_obs,prono_PP_dia_0,prono_PP_dia_1,prono_PP_dia_2,prono_PP_dia_3,prono_PP_dia_4,prono_PP_dia_5,prono_PP_dia_6,prono_Tm_dia_0,prono_Tm_dia_1,prono_Tm_dia_2,prono_Tm_dia_3,prono_Tm_dia_4,prono_Tm_dia_5,prono_Tm_dia_6,prono_Tm_dia_7,Aporte_m3s,Nivel_emb,NO3_lab,SS_105,NO2_lab,ODsupC,TempAmb,TurSupC,PO4_lab,SS_550,NT,NH_lab,Enteroc,Ptot_lab,Cianobac,Clorof_A,VientoI,T_sup,CondsupC,MicrtEli,EscColi,PROFSITI,SatSupC,pHsupC,Secc_sup,target
2020-02-14,26.145833333333332,84.125,1004.5458333333332,117.66666666666669,3.451041666666667,207.5,23.116666666666664,0.05625,8.0,19.5,3.599999904632568,19.79999923706055,23.89999961853027,8.399999618530273,3.599999904632568,16.10000038146973,26.70000076293945,26.5,26.89999961853027,26.79999923706055,27.89999961853027,27.70000076293945,27.5,24.5,1321.428571428571,31.86428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-02-15,26.241666666666664,82.70833333333333,1004.5791666666668,287.8125,2.844791666666667,183.61458333333337,22.945833333333336,0.08375,0.0,0.0,4.0,29.39999961853027,32.29999923706055,0.4000000059604645,6.199999809265137,0.0,25.5,27.89999961853027,27.60000038146973,26.60000038146973,24.60000038146973,27.0,20.20000076293945,17.89999961853027,1284.2857142857142,31.822857142857146,0.4989289447452749,16.085378409161347,0.024625469672946845,7.098662065330523,25.900926044668342,24.8,0.021993978235942402,10.83927881516147,0.7516735899797307,0.046,900.0,0.7,0.4254,9.6,11.387101595696187,27.859369016205868,69.99482301730004,0.15,297.0,1.0,78.6,8.558288611943238,0.33145669174703307,3.0
2020-02-16,26.7375,87.66666666666667,1003.2208333333332,202.82291666666663,3.078125,169.27083333333334,24.454166666666666,0.0620833333333333,8.0,0.1000000014901161,27.20000076293945,42.90000152587891,0.0,0.0,0.0,0.0,28.29999923706055,29.0,26.5,22.5,24.10000038146973,19.79999923706055,17.70000076293945,16.60000038146973,1247.142857142857,31.78142857142857,0.49927685670379696,15.580275206662797,0.024750009036489398,7.087208774785835,25.72567348703152,24.8,0.02133063968924773,10.47402095648107,0.7677503805945818,0.046,900.0,0.7,0.4254,9.6,11.817892069597228,27.686359284513358,69.62123492167275,0.15,297.0,1.0,78.6,8.461255354140535,0.3376503212705695,3.0
2020-02-17,26.0,85.875,1000.7625,149.96875,5.366666666666667,167.34375,23.4,0.0645833333333333,7.0,9.800000190734863,34.09999847412109,0.0,0.0,0.0,0.0,0.0,27.20000076293945,27.70000076293945,23.39999961853027,23.60000038146973,19.70000076293945,19.10000038146973,21.29999923706055,20.89999961853027,1210.0,31.74,0.4996356964139826,15.007144483497969,0.02487491329460215,7.0620346067625634,25.48035358069155,27.150018949642966,0.020665716104209704,10.05136100215256,0.7838655864797193,0.046,900.0,0.7,0.8144038702196695,10.464902862699091,12.376893336538544,27.497213624369515,69.2180233338782,0.15,297.0,1.0,78.6,8.345346560923783,0.34382891866704896,1.0
2020-02-18,22.666666666666668,76.625,1004.875,264.1145833333333,2.7458333333333336,161.0,17.758333333333333,0.085,9.0,19.79999923706055,0.0,0.0,0.0,0.0,0.0,0.0,25.5,23.10000038146973,23.79999923706055,20.0,18.60000038146973,20.60000038146973,22.60000038146973,21.70000076293945,1392.857142857143,31.885714285714283,0.5,14.4,0.025,7.03,25.2,31.3,0.02,9.6,0.8,0.046,900.0,0.7,2.8056,20.8,13.0,27.3,68.8,2.13,297.0,1.0,90.1,8.22,0.35,1.0
2020-02-19,21.883333333333336,71.54166666666667,1007.1833333333334,329.9895833333333,1.2197916666666666,172.59375,16.054166666666667,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.10000038146973,23.10000038146973,19.5,17.89999961853027,19.70000076293945,22.10000038146973,25.39999961853027,25.79999923706055,1575.7142857142858,32.03142857142857,0.5003643035860175,13.792855516502032,0.025125086705397853,6.997965393237437,24.91964641930845,35.44998105035703,0.02,9.148638997847439,0.8161344135202808,0.04571624418402016,753.9057686243016,0.6883552673424579,4.79679612978033,31.13509713730091,13.0,27.102786375630487,68.3819766661218,8.14561563472883,253.80283631841957,0.95145076359051,101.75453551162899,8.094653439076218,0.356171081332951,0.0
2020-02-20,21.6625,60.125,1011.3125,329.6666666666667,1.5177083333333332,129.57291666666666,12.6,0.1025,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.79999923706055,18.89999961853027,17.89999961853027,19.79999923706055,21.89999961853027,24.70000076293945,23.60000038146973,18.39999961853027,1758.571428571429,32.177142857142854,0.500723143296203,13.219724793337203,0.025249990963510605,6.9727912252141655,24.674326512968477,39.1487734292515,0.02,8.72597904351893,0.8322496194054183,0.04543255789625855,611.141940236765,0.6767138340816075,6.570018818629201,40.35256597581126,13.0,26.913640715486643,67.97876507832724,13.56474406615015,211.6839739398468,0.9051443116009714,112.92173430786474,8.01,0.36234967872943047,0.0
2020-02-21,18.6125,58.25,1017.5375,324.53125,3.5854166666666667,153.33333333333334,9.825,0.1345833333333333,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.10000038146973,17.70000076293945,19.79999923706055,21.89999961853027,25.10000038146973,24.60000038146973,22.5,19.5,1941.4285714285716,32.32285714285714,0.5010710552547252,12.714621590838654,0.025374530327053158,6.961337934669477,24.499073955331657,41.9451884652208,0.02,8.36072118483853,0.8483264100202694,0.04514901066493337,475.0389178255518,0.66507899961414,7.907294625615152,47.33477821674048,13.0,26.740630983794134,67.60517698269996,17.790898090956453,171.72171416728935,0.8633234284513357,123.11425967331402,8.01,0.3685433082529669,0.0
2020-02-22,19.6125,58.625,1017.8625,326.34375,5.1375,140.69791666666666,11.158333333333331,0.1616666666666666,0.0,0.0,0.0,0.0,0.0,0.1000000014901161,0.0,0.0,17.39999961853027,19.70000076293945,21.89999961853027,25.20000076293945,23.60000038146973,20.5,21.5,19.89999961853027,2124.285714285714,32.46857142857143,0.5014025755857519,12.311559669339525,0.02549852234874042,6.970465960342665,24.42892242074956,43.38803748680238,0.02,8.081566469630289,0.864345577729691,0.044865672018262845,348.92710437882397,0.6534540633367474,8.590650109806722,50.96410556129801,13.0,26.59182514477863,67.27602412532357,20.22759050584024,134.9943583037549,0.8282308985615543,131.8447748925836,8.01,0.37475948596708875,0.0
2020-02-23,21.745833333333337,62.75,1012.2125,312.3020833333333,1.6739583333333332,108.96875,13.8125,0.0975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.20000076293945,21.5,24.5,24.0,23.20000076293945,24.5,26.20000076293945,27.29999923706055,2307.1428571428573,32.614285714285714,0.5017122404134515,12.044552789172956,0.02562178458128729,7.007035740973018,24.498905583573773,43.02613182253368,0.02,7.9172159457182625,0.8802879148985399,0.044582611484465205,236.13690288474305,0.6418423246461211,8.402111830272453,50.122919710693296,13.0,26.475291162665794,67.00611825228177,20.278334107494,102.58020765225108,0.8021095063515785,138.62594325028022,8.01,0.38100572793532456,0.0
